global_step,episode,step_in_episode,action,reward,loss,q_value,epsilon,timestamp
0,0,0,4,0.0,,0.058618102222681046,1.0,2026-01-19T23:07:09.946608
10,0,10,1,0.0,,0.058572255074977875,0.9999802000000004,2026-01-19T23:07:09.955198
20,0,20,2,0.0,,0.058557815849781036,0.9999604000000009,2026-01-19T23:07:09.963222
30,0,30,5,0.0,,0.058683834969997406,0.9999406000000013,2026-01-19T23:07:09.970857
40,0,40,1,0.0,,0.05839148163795471,0.9999208000000017,2026-01-19T23:07:09.979497
50,0,50,4,25.0,,0.059303559362888336,0.9999010000000021,2026-01-19T23:07:09.986959
60,0,60,5,0.0,,0.059480100870132446,0.9998812000000026,2026-01-19T23:07:09.994717
70,0,70,1,0.0,,0.05903615802526474,0.999861400000003,2026-01-19T23:07:10.002750
80,0,80,3,25.0,,0.058681681752204895,0.9998416000000034,2026-01-19T23:07:10.012218
90,0,90,0,0.0,,0.05939227342605591,0.9998218000000039,2026-01-19T23:07:10.019805
100,0,100,1,0.0,,0.05899422988295555,0.9998020000000043,2026-01-19T23:07:10.027610
110,0,110,4,0.0,,0.05893821269273758,0.9997822000000047,2026-01-19T23:07:10.035473
120,0,120,0,0.0,,0.05850118398666382,0.9997624000000052,2026-01-19T23:07:10.043715
130,0,130,0,0.0,,0.058889392763376236,0.9997426000000056,2026-01-19T23:07:10.053199
140,0,140,0,0.0,,0.05890130251646042,0.999722800000006,2026-01-19T23:07:10.061520
150,0,150,2,0.0,,0.05950839817523956,0.9997030000000064,2026-01-19T23:07:10.070839
160,0,160,1,0.0,,0.05960054323077202,0.9996832000000069,2026-01-19T23:07:10.082292
170,0,170,0,0.0,,0.059560347348451614,0.9996634000000073,2026-01-19T23:07:10.090669
180,0,180,3,0.0,,0.05951312929391861,0.9996436000000077,2026-01-19T23:07:10.098065
190,0,190,5,0.0,,0.05952782183885574,0.9996238000000082,2026-01-19T23:07:10.105759
200,0,200,3,0.0,,0.05958730727434158,0.9996040000000086,2026-01-19T23:07:10.113592
210,0,210,0,0.0,,0.05948744714260101,0.999584200000009,2026-01-19T23:07:10.121073
220,0,220,3,0.0,,0.05907917767763138,0.9995644000000095,2026-01-19T23:07:10.129343
230,0,230,1,0.0,,0.05941912904381752,0.9995446000000099,2026-01-19T23:07:10.139313
240,0,240,2,0.0,,0.05934535712003708,0.9995248000000103,2026-01-19T23:07:10.147637
250,0,250,1,0.0,,0.05938934534788132,0.9995050000000107,2026-01-19T23:07:10.158903
260,0,260,3,0.0,,0.05945800617337227,0.9994852000000112,2026-01-19T23:07:10.168305
270,0,270,0,0.0,,0.059465814381837845,0.9994654000000116,2026-01-19T23:07:10.180477
280,0,280,2,0.0,,0.059459276497364044,0.999445600000012,2026-01-19T23:07:10.189341
290,0,290,4,0.0,,0.05890054255723953,0.9994258000000125,2026-01-19T23:07:10.198996
300,0,300,5,0.0,,0.05923672765493393,0.9994060000000129,2026-01-19T23:07:10.211355
310,0,310,4,0.0,,0.05903007090091705,0.9993862000000133,2026-01-19T23:07:10.218494
320,0,320,0,0.0,,0.05940276384353638,0.9993664000000138,2026-01-19T23:07:10.227047
330,0,330,5,0.0,,0.05863255634903908,0.9993466000000142,2026-01-19T23:07:10.234624
340,0,340,1,0.0,,0.05934418737888336,0.9993268000000146,2026-01-19T23:07:10.242245
350,0,350,4,0.0,,0.059093378484249115,0.999307000000015,2026-01-19T23:07:10.249386
360,0,360,2,0.0,,0.05855678766965866,0.9992872000000155,2026-01-19T23:07:10.256439
370,0,370,4,0.0,,0.05888715013861656,0.9992674000000159,2026-01-19T23:07:10.263896
380,0,380,0,0.0,,0.05912899225950241,0.9992476000000163,2026-01-19T23:07:10.271241
390,1,3,4,0.0,,0.0585913322865963,0.9992278000000168,2026-01-19T23:07:10.286814
400,1,13,3,0.0,,0.058529362082481384,0.9992080000000172,2026-01-19T23:07:10.293747
410,1,23,5,0.0,,0.05865662544965744,0.9991882000000176,2026-01-19T23:07:10.303606
420,1,33,2,0.0,,0.05861729383468628,0.999168400000018,2026-01-19T23:07:10.311706
430,1,43,3,0.0,,0.05862300097942352,0.9991486000000185,2026-01-19T23:07:10.319594
440,1,53,3,0.0,,0.05912177637219429,0.9991288000000189,2026-01-19T23:07:10.327717
450,1,63,5,0.0,,0.059073928743600845,0.9991090000000193,2026-01-19T23:07:10.335730
460,1,73,3,0.0,,0.05935923382639885,0.9990892000000198,2026-01-19T23:07:10.344346
470,1,83,0,0.0,,0.05963367596268654,0.9990694000000202,2026-01-19T23:07:10.352633
480,1,93,1,0.0,,0.059552207589149475,0.9990496000000206,2026-01-19T23:07:10.361999
490,1,103,5,0.0,,0.058716051280498505,0.9990298000000211,2026-01-19T23:07:10.373077
500,1,113,2,0.0,,0.058707498013973236,0.9990100000000215,2026-01-19T23:07:10.383464
510,1,123,0,0.0,,0.059092339128255844,0.9989902000000219,2026-01-19T23:07:10.397064
520,1,133,3,0.0,,0.058917246758937836,0.9989704000000224,2026-01-19T23:07:10.409380
530,1,143,5,0.0,,0.05917435139417648,0.9989506000000228,2026-01-19T23:07:10.420581
540,1,153,5,0.0,,0.05915673449635506,0.9989308000000232,2026-01-19T23:07:10.430733
550,1,163,2,0.0,,0.05916411802172661,0.9989110000000236,2026-01-19T23:07:10.449199
560,1,173,2,0.0,,0.05906256288290024,0.9988912000000241,2026-01-19T23:07:10.459019
570,1,183,0,0.0,,0.05908512324094772,0.9988714000000245,2026-01-19T23:07:10.474411
580,1,193,5,0.0,,0.05876501649618149,0.9988516000000249,2026-01-19T23:07:10.492910
590,1,203,3,0.0,,0.05946993827819824,0.9988318000000254,2026-01-19T23:07:10.505323
