episode,total_reward,episode_length,avg_loss,avg_q_value,epsilon,timestamp,total_steps,training_time_seconds,eval_reward,buffer_reward_min,buffer_reward_max,buffer_reward_mean,buffer_reward_std
0,75.0,320,0,0.5246350765228271,0.9968319999999977,2026-01-23T00:28:17.474861,320,0.2703826427459717,,0.0,0.25,0.00234375,0.024092413
1,525.0,371,0,0.6006558521797782,0.9931590999999951,2026-01-23T00:28:17.774822,691,0.298785924911499,,0.0,3.0,0.008683068,0.11846769
2,150.0,349,0,0.3935253585086149,0.9897039999999926,2026-01-23T00:28:18.080740,1040,0.30458903312683105,,0.0,3.0,0.0072115385,0.09840514
3,50.0,301,0,0.4895478179377894,0.9867240999999904,2026-01-23T00:28:18.330153,1341,0.24802684783935547,,0.0,3.0,0.005965697,0.08722361
4,50.0,308,0,0.4570302287737528,0.9836748999999883,2026-01-23T00:28:18.579457,1649,0.2479724884033203,,0.0,3.0,0.005154639,0.07915253
5,475.0,426,0,0.5875186365704204,0.9794574999999852,2026-01-23T00:28:18.924637,2075,0.3437840938568115,,0.0,3.0,0.006385542,0.097505994
6,100.0,296,0,0.5041801452636718,0.9765270999999831,2026-01-23T00:28:19.168664,2371,0.24248242378234863,,0.0,3.0,0.006010122,0.09179051
7,175.0,289,0,0.4753595420292446,0.973665999999981,2026-01-23T00:28:19.409308,2660,0.2389814853668213,,0.0,3.0,0.0060150377,0.08758188
8,350.0,524,0,0.4727252035770776,0.9684783999999773,2026-01-23T00:28:19.842786,3184,0.43154096603393555,,0.0,3.0,0.0061243717,0.081705235
9,225.0,386,0,0.528682751090903,0.9646569999999746,2026-01-23T00:28:20.162832,3570,0.3180055618286133,,0.0,3.0,0.006092437,0.07815268
10,50.0,258,0,0.420564931172591,0.9621027999999727,2026-01-23T00:28:20.382764,3828,0.21776533126831055,,0.0,3.0,0.0058124345,0.07569457
11,175.0,300,0,0.37737757563591,0.9591327999999706,2026-01-23T00:28:20.637615,4128,0.25269341468811035,,0.0,3.0,0.0058139535,0.073598765
12,50.0,250,0,0.41116641998291015,0.9566577999999688,2026-01-23T00:28:20.849154,4378,0.2092280387878418,,0.0,3.0,0.0055961628,0.07166986
