episode,total_reward,episode_length,avg_loss,avg_q_value,epsilon,timestamp,total_steps,training_time_seconds,eval_reward,buffer_reward_min,buffer_reward_max,buffer_reward_mean,buffer_reward_std
0,600.0,413,0,0.45467364362307955,0.9959112999999971,2026-01-23T01:32:56.651474,413,0.35298752784729004,,0.0,3.25,0.014527845,0.1644039
1,150.0,333,0,0.554214186740644,0.9926145999999947,2026-01-23T01:32:56.925473,746,0.2728307247161865,,0.0,3.25,0.01005362,0.12442683
2,75.0,310,0,0.7126462671064562,0.9895455999999925,2026-01-23T01:32:57.176548,1056,0.24998188018798828,,0.0,3.25,0.0078125,0.10547532
3,150.0,330,0,0.6402506087765549,0.9862785999999901,2026-01-23T01:32:57.445103,1386,0.2672152519226074,,0.0,3.25,0.007034632,0.09350832
4,300.0,506,0,0.5427252311332553,0.9812691999999865,2026-01-23T01:32:57.857337,1892,0.4108896255493164,,0.0,3.25,0.0067389007,0.08241717
5,250.0,503,0,0.7350465643405915,0.9762894999999829,2026-01-23T01:32:58.282215,2395,0.42315673828125,,0.0,3.25,0.006367432,0.07498197
6,175.0,324,0,0.5494313230738044,0.9730818999999806,2026-01-23T01:32:58.544799,2719,0.26088500022888184,,0.0,3.25,0.0062522986,0.07148329
7,150.0,327,0,0.5251710451010502,0.9698445999999783,2026-01-23T01:32:58.816906,3046,0.2704646587371826,,0.0,3.25,0.006073539,0.06842819
8,200.0,376,0,0.6861432790756226,0.9661221999999756,2026-01-23T01:32:59.129790,3422,0.311107873916626,,0.0,3.25,0.0059906486,0.0656581
9,0.0,290,0,0.6235194596750983,0.9632511999999736,2026-01-23T01:32:59.367380,3712,0.23572540283203125,,0.0,3.25,0.0055226292,0.06306167
10,250.0,395,0,0.5536274963464493,0.9593406999999707,2026-01-23T01:32:59.693508,4107,0.32412266731262207,,0.0,3.25,0.005600195,0.061177466
11,500.0,411,0,0.6478974288556634,0.9552717999999678,2026-01-23T01:33:00.032862,4518,0.3371098041534424,,0.0,3.25,0.0061974325,0.0763349
12,100.0,324,0,0.6452772761836196,0.9520641999999655,2026-01-23T01:33:00.301461,4842,0.26633477210998535,,0.0,3.25,0.0059892605,0.0740858
13,75.0,308,0.0006424188211440196,5.301409647862116,0.9490149999999633,2026-01-23T01:33:00.986487,5150,0.6827073097229004,,0.0,3.25,0.005776699,0.0720917
14,200.0,329,0.005755013762552608,8.453166383685488,0.945757899999961,2026-01-23T01:33:01.830090,5479,0.840970516204834,,0.0,3.25,0.005794853,0.070527844
15,50.0,305,0.005708743719651466,7.0272031599475495,0.9427383999999588,2026-01-23T01:33:02.612193,5784,0.7794227600097656,,0.0,3.25,0.0055757263,0.06880561
16,0.0,279,0.0007754148075491685,6.390117594173977,0.9399762999999568,2026-01-23T01:33:03.358264,6063,0.7434689998626709,,0.0,3.25,0.005319149,0.06721402
17,200.0,326,0.0061058284788373385,6.219527393579483,0.9367488999999545,2026-01-23T01:33:04.199131,6389,0.8380589485168457,,0.0,3.25,0.0053607766,0.06605737
18,75.0,320,0.0006674717159285137,5.85391266644001,0.9335808999999522,2026-01-23T01:33:05.013340,6709,0.8113822937011719,,0.0,3.25,0.005216873,0.064680345
19,25.0,300,0.00032428676319492904,5.590668710072835,0.9306108999999501,2026-01-23T01:33:05.782835,7009,0.7664985656738281,,0.0,3.25,0.005029248,0.06335738
20,125.0,356,0.000852187224053422,5.3842498726314965,0.9270864999999475,2026-01-23T01:33:06.694883,7365,0.9091804027557373,,0.0,3.25,0.0049558724,0.06214552
21,50.0,306,0.0006987134017739057,4.483511324851744,0.9240570999999453,2026-01-23T01:33:07.468746,7671,0.7708091735839844,,0.0,3.25,0.0048233606,0.061029635
22,50.0,254,0.0004489292118006023,3.88602952003479,0.9215424999999435,2026-01-23T01:33:08.134775,7925,0.6628763675689697,,0.0,3.25,0.0047318614,0.060175925
23,75.0,314,0.0003924303620199983,4.569164429941485,0.9184338999999413,2026-01-23T01:33:08.940395,8239,0.8024964332580566,,0.0,3.25,0.0046425536,0.059210453
24,50.0,314,0.00025636595285050134,4.2139792665839195,0.9153252999999391,2026-01-23T01:33:09.756781,8553,0.8130192756652832,,0.0,3.25,0.004530574,0.058241043
25,150.0,328,0.0005529033970721203,4.7994832920305655,0.9120780999999367,2026-01-23T01:33:10.617413,8881,0.8572437763214111,,0.0,3.25,0.004532147,0.057516914
26,0.0,285,0.0005347708638510085,4.564103211675372,0.9092565999999347,2026-01-23T01:33:11.363936,9166,0.7426433563232422,,0.0,3.25,0.0043912283,0.056621123
27,75.0,265,0.00048778944381830603,4.379825503737838,0.9066330999999328,2026-01-23T01:33:12.053466,9431,0.6858150959014893,,0.0,3.25,0.004347365,0.05599635
28,75.0,319,0.0003872877442177014,4.023951307419808,0.9034749999999305,2026-01-23T01:33:12.920405,9750,0.863245964050293,,0.0,3.25,0.004282051,0.05524651
29,150.0,332,0.0004527421572621439,5.076526957399705,0.9001881999999282,2026-01-23T01:33:13.800438,10082,0.8761491775512695,,0.0,3.25,0.0042898236,0.05466437
30,575.0,374,0.0003502486864716856,5.457090152276529,0.8964855999999255,2026-01-23T01:33:14.775930,10456,0.9715588092803955,,0.0,3.25,0.0046863044,0.06282557
31,750.0,444,0.0003484856332017278,4.2619493712078445,0.8920899999999223,2026-01-23T01:33:15.934551,10900,1.154773235321045,,0.0,5.0,0.0051834863,0.07830317
32,0.0,287,0.00037459297163877636,2.57460460169562,0.8892486999999203,2026-01-23T01:33:16.685246,11187,0.7466740608215332,,0.0,5.0,0.005050505,0.07729657
33,675.0,483,0.00032887096078108396,3.8069988476733365,0.8844669999999168,2026-01-23T01:33:17.974357,11670,1.2846686840057373,,0.0,5.0,0.00541988,0.081080794
34,525.0,405,0.004216835975694266,2.670502427147656,0.880457499999914,2026-01-23T01:33:19.041218,12075,1.0621857643127441,,0.0,5.0,0.0056728777,0.08450877
35,225.0,340,0.005084139330874142,3.1527152447139515,0.8770914999999115,2026-01-23T01:33:19.928219,12415,0.8823649883270264,,0.0,5.0,0.0056987517,0.08360789
36,0.0,286,0.0005351363421747616,2.6572608166727525,0.8742600999999095,2026-01-23T01:33:20.685778,12701,0.752941370010376,,0.0,5.0,0.0055704275,0.08266552
37,75.0,330,0.0005993852757910645,3.217450813813643,0.8709930999999071,2026-01-23T01:33:21.549496,13031,0.8592522144317627,,0.0,5.0,0.005486916,0.08170104
38,150.0,282,0.010489515313955573,2.477242725236075,0.8682012999999051,2026-01-23T01:33:22.308254,13313,0.7540023326873779,,0.0,5.0,0.0054833624,0.08100145
39,50.0,325,0.0002635393472019132,1.3946561235934496,0.8649837999999028,2026-01-23T01:33:23.195064,13638,0.8820745944976807,,0.0,5.0,0.0053893533,0.08008962
40,250.0,321,0.005454083819927291,2.141328927129507,0.8618058999999005,2026-01-23T01:33:24.034245,13959,0.8341927528381348,,0.0,5.0,0.005444516,0.07943773
41,75.0,313,0.0003819864298293396,1.8620956242084503,0.8587071999998983,2026-01-23T01:33:24.854077,14272,0.8147773742675781,,0.0,5.0,0.0053776624,0.078645855
42,150.0,346,0.00017009752456728807,2.3961515461697296,0.8552817999998958,2026-01-23T01:33:25.756814,14618,0.8977982997894287,,0.0,5.0,0.0053529893,0.077871725
43,150.0,341,0.000353683761525591,2.225606052314534,0.8519058999998934,2026-01-23T01:33:26.663774,14959,0.9014813899993896,,0.0,5.0,0.0053312387,0.07713897
44,25.0,291,0.011725758123551108,4.284664178716725,0.8490249999998913,2026-01-23T01:33:27.481197,15250,0.8122775554656982,,0.0,5.0,0.0052459016,0.07642861
45,75.0,279,0.0002335193783957428,1.712268386568342,0.8462628999998894,2026-01-23T01:33:28.225882,15529,0.7393612861633301,,0.0,5.0,0.0051999483,0.075818494
46,0.0,286,0.0002626348853352413,1.4143348665073001,0.8434314999998873,2026-01-23T01:33:28.987215,15815,0.7560131549835205,,0.0,5.0,0.005105912,0.07513301
47,175.0,335,0.0006336067474287976,1.6217352693731135,0.8401149999998849,2026-01-23T01:33:29.883543,16150,0.8907041549682617,,0.0,5.0,0.0051083593,0.074527845
48,150.0,334,0.0003632274210223627,2.3152473130646873,0.8368083999998825,2026-01-23T01:33:30.765296,16484,0.8761818408966064,,0.0,5.0,0.0050958507,0.07392025
49,75.0,324,0.00029025176496588756,1.6775975469499826,0.8336007999998802,2026-01-23T01:33:31.619684,16808,0.848954439163208,,0.0,5.0,0.005042242,0.07328078
50,50.0,316,0.010177107353911197,1.3234680891036987,0.830472399999878,2026-01-23T01:33:32.611628,17124,0.863616943359375,,0.0,5.0,0.0049783927,0.072652906
51,250.0,350,0.0004261578914712813,1.9027853420802525,0.8270073999998755,2026-01-23T01:33:33.570565,17474,0.9533021450042725,,0.0,5.0,0.0050217467,0.072163396
52,125.0,331,0.00046430571455857717,1.6938046957507278,0.8237304999998731,2026-01-23T01:33:34.450286,17805,0.8739504814147949,,0.0,5.0,0.004998596,0.07161048
53,150.0,332,0.0003185087425663369,1.2617005561337327,0.8204436999998708,2026-01-23T01:33:35.357057,18137,0.9006719589233398,,0.0,5.0,0.0049898,0.07109499
54,550.0,465,0.00028705089069565776,3.2370381570876914,0.8158401999998675,2026-01-23T01:33:36.604493,18602,1.2413311004638672,,0.0,5.0,0.0051607355,0.0737781
55,50.0,308,0.000340035951739992,1.985619560877482,0.8127909999998653,2026-01-23T01:33:37.427793,18910,0.8171665668487549,,0.0,5.0,0.00510312,0.07322103
56,100.0,351,0.004573720324717417,2.710519654883279,0.8093160999998628,2026-01-23T01:33:38.368479,19261,0.9344189167022705,,0.0,5.0,0.0050620423,0.0726398
57,275.0,399,0.004571381057662381,3.3713980301832542,0.8053659999998599,2026-01-23T01:33:39.430012,19660,1.0547130107879639,,0.0,5.0,0.005099186,0.07213546
58,25.0,300,0.00012629040368968467,2.9184146066506704,0.8023959999998578,2026-01-23T01:33:40.228923,19960,0.7925074100494385,,0.0,5.0,0.0050350702,0.07161499
59,75.0,319,0.005455484621734286,3.3678235933184624,0.7992378999998555,2026-01-23T01:33:41.075600,20279,0.8399543762207031,,0.0,5.0,0.0049928497,0.07111469
60,25.0,296,0.0006234705474829146,1.5500324428081513,0.7963074999998534,2026-01-23T01:33:41.862256,20575,0.7799644470214844,,0.0,5.0,0.0049331714,0.07062447
