episode,total_reward,episode_length,avg_loss,avg_q_value,epsilon,timestamp,total_steps,training_time_seconds,eval_reward,buffer_reward_min,buffer_reward_max,buffer_reward_mean,buffer_reward_std
0,50.0,301,0,0.11085716310528017,0.9970200999999979,2026-01-23T03:12:03.474018,301,0.26711249351501465,,0.0,0.25,0.0016611295,0.020310663
1,350.0,507,0,0.18142199456691743,0.9920007999999942,2026-01-23T03:12:03.890935,808,0.41362953186035156,,0.0,0.25,0.004950495,0.03482982
2,0.0,280,0,0.08371948064970118,0.9892287999999922,2026-01-23T03:12:04.124765,1088,0.2308344841003418,,0.0,0.25,0.0036764706,0.030093206
3,250.0,326,0,0.14013116705146703,0.9860013999999899,2026-01-23T03:12:04.402076,1414,0.2741682529449463,,0.0,0.25,0.004596888,0.03358706
4,200.0,302,0,0.1112244670589765,0.9830115999999878,2026-01-23T03:12:04.654173,1716,0.24884724617004395,,0.0,0.25,0.0049533797,0.03483976
5,25.0,291,0,0.10022070515772392,0.9801306999999857,2026-01-23T03:12:04.900547,2007,0.24301958084106445,,0.0,0.25,0.0043597408,0.032725032
6,500.0,403,0,0.15976718803867698,0.9761409999999828,2026-01-23T03:12:05.239149,2410,0.33501720428466797,,0.0,3.0,0.0057053943,0.069404855
7,150.0,362,0,0.18259776625278834,0.9725571999999802,2026-01-23T03:12:05.545345,2772,0.3026268482208252,,0.0,3.0,0.005501443,0.06573649
8,50.0,316,0,0.09782163594518939,0.969428799999978,2026-01-23T03:12:05.810293,3088,0.2612123489379883,,0.0,3.0,0.0051003885,0.06261562
9,150.0,343,0,0.06611217239073344,0.9660330999999756,2026-01-23T03:12:06.102325,3431,0.28831052780151367,,0.0,3.0,0.0050276886,0.060300846
10,100.0,293,0,0.13900425426405053,0.9631323999999735,2026-01-23T03:12:06.358475,3724,0.25223398208618164,,0.0,3.0,0.0049006445,0.05845087
11,325.0,402,0,0.1745655125938356,0.9591525999999706,2026-01-23T03:12:06.703826,4126,0.3412766456604004,,0.0,3.0,0.005210858,0.057228275
12,0.0,286,0,0.080031948870626,0.9563211999999686,2026-01-23T03:12:06.947131,4412,0.2392568588256836,,0.0,3.0,0.0048730737,0.055357218
13,0.0,285,0,0.06514620262065104,0.9534996999999665,2026-01-23T03:12:07.193440,4697,0.24221587181091309,,0.0,3.0,0.00457739,0.053664092
14,25.0,296,0,0.10829637348651885,0.9505692999999644,2026-01-23T03:12:07.451219,4993,0.25356149673461914,,0.0,3.0,0.0043560984,0.052176256
15,150.0,368,0.0005150806272779032,8.284983773489255,0.9469260999999618,2026-01-23T03:12:08.457419,5361,1.001587152481079,,0.0,3.0,0.0043368773,0.051032376
16,0.0,290,0.00038573495151337866,7.8397045957631075,0.9440550999999597,2026-01-23T03:12:09.219343,5651,0.7569019794464111,,0.0,3.0,0.004114316,0.049714886
17,75.0,344,0.0053249382881939014,7.765835565679214,0.9406494999999573,2026-01-23T03:12:10.130394,5995,0.9060542583465576,,0.0,3.0,0.004003336,0.04858965
18,475.0,464,0.004368410217189787,8.039599387542061,0.936055899999954,2026-01-23T03:12:11.336421,6459,1.2009356021881104,,0.0,3.0,0.0044511533,0.060394958
19,50.0,295,0.0006690690099882583,7.07095193862915,0.9331353999999519,2026-01-23T03:12:12.114932,6754,0.7736198902130127,,0.0,3.0,0.004330767,0.059219364
20,25.0,296,0.008565589766173312,6.859159765572383,0.9302049999999498,2026-01-23T03:12:12.926322,7050,0.8063504695892334,,0.0,3.0,0.004184397,0.058043208
21,50.0,302,0.003203590036355308,6.8834368182766825,0.9272151999999476,2026-01-23T03:12:13.726929,7352,0.795259952545166,,0.0,3.0,0.0040805223,0.05698918
22,175.0,306,0.006037726280434678,6.650880066553752,0.9241857999999454,2026-01-23T03:12:14.540102,7658,0.8077139854431152,,0.0,3.0,0.004145991,0.05633753
23,100.0,320,0.0007773799152346328,7.043559983372688,0.9210177999999432,2026-01-23T03:12:15.384399,7978,0.8389019966125488,,0.0,3.0,0.004105039,0.05547608
24,175.0,326,0.0029949003865647897,8.21219098929203,0.9177903999999408,2026-01-23T03:12:16.245140,8304,0.8552398681640625,,0.0,3.0,0.0041546244,0.054848786
25,150.0,318,0.004149099420828861,8.418326154351234,0.9146421999999386,2026-01-23T03:12:17.098373,8622,0.8476393222808838,,0.0,3.0,0.0041753654,0.05422284
26,250.0,445,0.0024994256170678204,10.365778760476546,0.9102366999999354,2026-01-23T03:12:18.288823,9067,1.1846415996551514,,0.0,3.0,0.0042461674,0.053509798
27,625.0,396,0.0042158440668572435,11.32854620218277,0.9063162999999326,2026-01-23T03:12:19.344030,9463,1.0490436553955078,,0.0,3.0,0.0047289445,0.061443646
28,75.0,275,0.009173256441919455,11.13453741426821,0.9035937999999306,2026-01-23T03:12:20.096630,9738,0.7456109523773193,,0.0,3.0,0.0046724174,0.06072777
29,225.0,355,0.0038676056333820773,11.765487485461765,0.9000792999999281,2026-01-23T03:12:21.066152,10093,0.9629456996917725,,0.0,3.0,0.004731002,0.060104586
30,0.0,285,0.004024788103249323,12.5590341091156,0.897257799999926,2026-01-23T03:12:21.815564,10378,0.7432658672332764,,0.0,3.0,0.004601079,0.059278596
31,50.0,323,0.002114461180206169,13.87490549954501,0.8940600999999238,2026-01-23T03:12:22.677990,10701,0.8519821166992188,,0.0,3.0,0.004508924,0.05847878
32,450.0,355,0.002607288451947491,18.32892862047468,0.8905455999999212,2026-01-23T03:12:23.635281,11056,0.9497928619384766,,0.0,3.25,0.004771165,0.06550195
